m,m0,m1,null_prop,distribution,L,alpha,n_reps,seed,power_bonf_mean,power_bonf_median,power_bonf_sd,power_bonf_min,power_bonf_max,power_bonf_q25,power_bonf_q75,fdr_bonf_mean,fdr_bonf_median,fdr_bonf_sd,fdr_bonf_max,power_hoch_mean,power_hoch_median,power_hoch_sd,power_hoch_min,power_hoch_max,power_hoch_q25,power_hoch_q75,fdr_hoch_mean,fdr_hoch_median,fdr_hoch_sd,fdr_hoch_max,power_bh_mean,power_bh_median,power_bh_sd,power_bh_min,power_bh_max,power_bh_q25,power_bh_q75,fdr_bh_mean,fdr_bh_median,fdr_bh_sd,fdr_bh_max,power_gain_hoch,power_gain_bh,power_diff_hoch,power_diff_bh,fdr_bh_bound,fdr_bh_controlled
4,0,4,0.000000,D,5,0.050000,2000,123456793,0.399625,0.500000,0.184441,0.000000,1.000000,0.250000,0.500000,0.000000,0.000000,0.000000,0.000000,0.444250,0.500000,0.222805,0.000000,1.000000,0.250000,0.500000,0.000000,0.000000,0.000000,0.000000,0.480500,0.500000,0.224432,0.000000,1.000000,0.250000,0.500000,0.000000,0.000000,0.000000,0.000000,1.111667,1.202377,0.044625,0.080875,0.000000,True
4,0,4,0.000000,E,5,0.050000,2000,123456793,0.619250,0.500000,0.165732,0.250000,1.000000,0.500000,0.750000,0.000000,0.000000,0.000000,0.000000,0.686875,0.750000,0.191171,0.250000,1.000000,0.500000,0.750000,0.000000,0.000000,0.000000,0.000000,0.707750,0.750000,0.178787,0.250000,1.000000,0.500000,0.750000,0.000000,0.000000,0.000000,0.000000,1.109205,1.142915,0.067625,0.088500,0.000000,True
4,0,4,0.000000,I,5,0.050000,2000,123456793,0.847625,0.750000,0.148747,0.250000,1.000000,0.750000,1.000000,0.000000,0.000000,0.000000,0.000000,0.912875,1.000000,0.133942,0.250000,1.000000,0.750000,1.000000,0.000000,0.000000,0.000000,0.000000,0.915625,1.000000,0.127866,0.250000,1.000000,0.750000,1.000000,0.000000,0.000000,0.000000,0.000000,1.076980,1.080224,0.065250,0.068000,0.000000,True
4,1,3,0.250000,D,5,0.050000,2000,123456793,0.500500,0.666667,0.222111,0.000000,1.000000,0.333333,0.666667,0.005667,0.000000,0.049397,0.500000,0.533333,0.666667,0.241293,0.000000,1.000000,0.333333,0.666667,0.009625,0.000000,0.059346,0.500000,0.570333,0.666667,0.246865,0.000000,1.000000,0.333333,0.666667,0.013375,0.000000,0.068756,0.500000,1.065601,1.139527,0.032833,0.069833,0.012500,True
4,1,3,0.250000,E,5,0.050000,2000,123456793,0.500500,0.666667,0.222111,0.000000,1.000000,0.333333,0.666667,0.005667,0.000000,0.049397,0.500000,0.533333,0.666667,0.241293,0.000000,1.000000,0.333333,0.666667,0.009625,0.000000,0.059346,0.500000,0.570333,0.666667,0.246865,0.000000,1.000000,0.333333,0.666667,0.013375,0.000000,0.068756,0.500000,1.065601,1.139527,0.032833,0.069833,0.012500,True
4,1,3,0.250000,I,5,0.050000,2000,123456793,0.793333,0.666667,0.195675,0.333333,1.000000,0.666667,1.000000,0.004208,0.000000,0.036794,0.500000,0.840500,1.000000,0.191351,0.333333,1.000000,0.666667,1.000000,0.011667,0.000000,0.054987,0.500000,0.865833,1.000000,0.180891,0.333333,1.000000,0.666667,1.000000,0.013917,0.000000,0.061300,0.500000,1.059454,1.091387,0.047167,0.072500,0.012500,False
4,2,2,0.500000,D,5,0.050000,2000,123456793,0.308500,0.500000,0.295513,0.000000,1.000000,0.000000,0.500000,0.021583,0.000000,0.129178,1.000000,0.317500,0.500000,0.305686,0.000000,1.000000,0.000000,0.500000,0.022917,0.000000,0.126117,1.000000,0.335750,0.500000,0.325802,0.000000,1.000000,0.000000,0.500000,0.029417,0.000000,0.133785,1.000000,1.029173,1.088331,0.009000,0.027250,0.025000,False
4,2,2,0.500000,E,5,0.050000,2000,123456793,0.996000,1.000000,0.044542,0.500000,1.000000,1.000000,1.000000,0.010333,0.000000,0.057773,0.333333,0.997750,1.000000,0.033465,0.500000,1.000000,1.000000,1.000000,0.019417,0.000000,0.079395,0.500000,0.998000,1.000000,0.031559,0.500000,1.000000,1.000000,1.000000,0.027417,0.000000,0.092712,0.500000,1.001757,1.002008,0.001750,0.002000,0.025000,True
4,2,2,0.500000,I,5,0.050000,2000,123456793,0.943000,1.000000,0.159690,0.000000,1.000000,1.000000,1.000000,0.011000,0.000000,0.062282,0.500000,0.953250,1.000000,0.146422,0.000000,1.000000,1.000000,1.000000,0.019083,0.000000,0.080345,0.500000,0.962500,1.000000,0.132641,0.000000,1.000000,1.000000,1.000000,0.027750,0.000000,0.095128,0.666667,1.010870,1.020679,0.010250,0.019500,0.025000,False
4,3,1,0.750000,D,5,0.050000,2000,123456793,0.996000,1.000000,0.063119,0.000000,1.000000,1.000000,1.000000,0.019750,0.000000,0.097391,0.500000,0.996000,1.000000,0.063119,0.000000,1.000000,1.000000,1.000000,0.025750,0.000000,0.110508,0.500000,0.996000,1.000000,0.063119,0.000000,1.000000,1.000000,1.000000,0.039083,0.000000,0.135658,0.666667,1.000000,1.000000,0.000000,0.000000,0.037500,True
4,3,1,0.750000,E,5,0.050000,2000,123456793,0.996000,1.000000,0.063119,0.000000,1.000000,1.000000,1.000000,0.019750,0.000000,0.097391,0.500000,0.996000,1.000000,0.063119,0.000000,1.000000,1.000000,1.000000,0.025750,0.000000,0.110508,0.500000,0.996000,1.000000,0.063119,0.000000,1.000000,1.000000,1.000000,0.039083,0.000000,0.135658,0.666667,1.000000,1.000000,0.000000,0.000000,0.037500,True
4,3,1,0.750000,I,5,0.050000,2000,123456793,0.996000,1.000000,0.063119,0.000000,1.000000,1.000000,1.000000,0.019750,0.000000,0.097391,0.500000,0.996000,1.000000,0.063119,0.000000,1.000000,1.000000,1.000000,0.025750,0.000000,0.110508,0.500000,0.996000,1.000000,0.063119,0.000000,1.000000,1.000000,1.000000,0.039083,0.000000,0.135658,0.666667,1.000000,1.000000,0.000000,0.000000,0.037500,True
8,0,8,0.000000,D,5,0.050000,2000,123456797,0.462250,0.500000,0.119556,0.125000,0.875000,0.375000,0.500000,0.000000,0.000000,0.000000,0.000000,0.511125,0.500000,0.144864,0.125000,1.000000,0.375000,0.625000,0.000000,0.000000,0.000000,0.000000,0.591938,0.625000,0.143208,0.125000,1.000000,0.500000,0.625000,0.000000,0.000000,0.000000,0.000000,1.105733,1.280557,0.048875,0.129688,0.000000,True
8,0,8,0.000000,E,5,0.050000,2000,123456797,0.576812,0.625000,0.116986,0.250000,1.000000,0.500000,0.625000,0.000000,0.000000,0.000000,0.000000,0.643750,0.625000,0.143424,0.250000,1.000000,0.500000,0.750000,0.000000,0.000000,0.000000,0.000000,0.705063,0.750000,0.127614,0.250000,1.000000,0.625000,0.750000,0.000000,0.000000,0.000000,0.000000,1.116047,1.222343,0.066938,0.128250,0.000000,True
8,0,8,0.000000,I,5,0.050000,2000,123456797,0.692562,0.750000,0.115065,0.250000,1.000000,0.625000,0.750000,0.000000,0.000000,0.000000,0.000000,0.774625,0.750000,0.134756,0.375000,1.000000,0.625000,0.875000,0.000000,0.000000,0.000000,0.000000,0.812937,0.875000,0.108900,0.375000,1.000000,0.750000,0.875000,0.000000,0.000000,0.000000,0.000000,1.118491,1.173811,0.082063,0.120375,0.000000,True
8,2,6,0.250000,D,5,0.050000,2000,123456797,0.463083,0.500000,0.146670,0.000000,0.833333,0.333333,0.500000,0.003408,0.000000,0.030390,0.333333,0.492500,0.500000,0.160812,0.000000,1.000000,0.333333,0.666667,0.005413,0.000000,0.036722,0.333333,0.570833,0.500000,0.168438,0.000000,1.000000,0.500000,0.666667,0.014220,0.000000,0.056149,0.400000,1.063523,1.232680,0.029417,0.107750,0.012500,False
8,2,6,0.250000,E,5,0.050000,2000,123456797,0.436667,0.500000,0.156312,0.000000,0.833333,0.333333,0.500000,0.003617,0.000000,0.032838,0.500000,0.468250,0.500000,0.172096,0.000000,1.000000,0.333333,0.500000,0.005446,0.000000,0.037721,0.500000,0.554000,0.500000,0.180279,0.000000,1.000000,0.500000,0.666667,0.014129,0.000000,0.056840,0.500000,1.072328,1.268702,0.031583,0.117333,0.012500,False
8,2,6,0.250000,I,5,0.050000,2000,123456797,0.691167,0.666667,0.126753,0.166667,1.000000,0.666667,0.833333,0.002600,0.000000,0.023080,0.333333,0.729083,0.666667,0.130836,0.166667,1.000000,0.666667,0.833333,0.005424,0.000000,0.031494,0.250000,0.784083,0.833333,0.120437,0.333333,1.000000,0.666667,0.833333,0.014039,0.000000,0.049167,0.285714,1.054859,1.134435,0.037917,0.092917,0.012500,False
8,4,4,0.500000,D,5,0.050000,2000,123456797,0.345375,0.250000,0.178703,0.000000,1.000000,0.250000,0.500000,0.010542,0.000000,0.072576,1.000000,0.354250,0.250000,0.186432,0.000000,1.000000,0.250000,0.500000,0.011867,0.000000,0.073278,1.000000,0.413375,0.500000,0.215702,0.000000,1.000000,0.250000,0.500000,0.024100,0.000000,0.093519,1.000000,1.025697,1.196887,0.008875,0.068000,0.025000,True
8,4,4,0.500000,E,5,0.050000,2000,123456797,0.575375,0.500000,0.172771,0.000000,1.000000,0.500000,0.750000,0.007117,0.000000,0.047027,0.500000,0.592500,0.500000,0.178027,0.000000,1.000000,0.500000,0.750000,0.010625,0.000000,0.056236,0.500000,0.653250,0.750000,0.182214,0.000000,1.000000,0.500000,0.750000,0.025967,0.000000,0.082080,0.500000,1.029763,1.135347,0.017125,0.077875,0.025000,True
8,4,4,0.500000,I,5,0.050000,2000,123456797,0.806625,0.750000,0.152929,0.250000,1.000000,0.750000,1.000000,0.005550,0.000000,0.036171,0.333333,0.832750,0.750000,0.154199,0.250000,1.000000,0.750000,1.000000,0.009658,0.000000,0.046698,0.333333,0.886000,1.000000,0.138533,0.250000,1.000000,0.750000,1.000000,0.026125,0.000000,0.073294,0.400000,1.032388,1.098404,0.026125,0.079375,0.025000,True
8,6,2,0.750000,D,5,0.050000,2000,123456797,0.244000,0.000000,0.277874,0.000000,1.000000,0.000000,0.500000,0.026583,0.000000,0.145875,1.000000,0.246000,0.000000,0.280596,0.000000,1.000000,0.000000,0.500000,0.027500,0.000000,0.146323,1.000000,0.265250,0.000000,0.303756,0.000000,1.000000,0.000000,0.500000,0.037000,0.000000,0.156766,1.000000,1.008197,1.087090,0.002000,0.021250,0.037500,True
8,6,2,0.750000,E,5,0.050000,2000,123456797,0.986000,1.000000,0.083988,0.000000,1.000000,1.000000,1.000000,0.012167,0.000000,0.063173,0.500000,0.987750,1.000000,0.078898,0.000000,1.000000,1.000000,1.000000,0.016417,0.000000,0.072991,0.500000,0.993750,1.000000,0.055551,0.500000,1.000000,1.000000,1.000000,0.037133,0.000000,0.107992,0.600000,1.001775,1.007860,0.001750,0.007750,0.037500,True
